T_forfft,V_forfft
3.81870e+01,-1.80148e-10
3.88880e+01,-1.63445e-10
3.95890e+01,-1.48644e-10
4.02899e+01,0.00000e+00
4.09909e+01,0.00000e+00
4.16918e+01,0.00000e+00
4.23928e+01,0.00000e+00
4.30938e+01,0.00000e+00
4.37947e+01,0.00000e+00
4.44957e+01,0.00000e+00
4.51967e+01,0.00000e+00
4.58976e+01,0.00000e+00
4.65986e+01,0.00000e+00
4.72996e+01,0.00000e+00
4.80005e+01,0.00000e+00
4.87015e+01,0.00000e+00
4.94025e+01,0.00000e+00
5.01034e+01,0.00000e+00
5.08044e+01,0.00000e+00
5.15054e+01,0.00000e+00
5.22063e+01,0.00000e+00
5.29073e+01,0.00000e+00
5.36082e+01,0.00000e+00
5.43092e+01,0.00000e+00
5.50102e+01,0.00000e+00
5.57111e+01,0.00000e+00
5.64121e+01,0.00000e+00
5.71131e+01,0.00000e+00
5.78140e+01,0.00000e+00
5.85150e+01,0.00000e+00
5.92160e+01,0.00000e+00
5.99169e+01,0.00000e+00
6.06179e+01,0.00000e+00
6.13189e+01,0.00000e+00
6.20198e+01,0.00000e+00
6.27208e+01,0.00000e+00
6.34218e+01,0.00000e+00
6.41227e+01,0.00000e+00
6.48237e+01,0.00000e+00
6.55246e+01,0.00000e+00
6.62256e+01,0.00000e+00
6.69266e+01,0.00000e+00
6.76275e+01,0.00000e+00
6.83285e+01,0.00000e+00
6.90295e+01,0.00000e+00
6.97304e+01,0.00000e+00
7.04314e+01,0.00000e+00
7.11324e+01,0.00000e+00
7.18333e+01,0.00000e+00
7.25343e+01,0.00000e+00
7.32353e+01,0.00000e+00
7.39362e+01,0.00000e+00
7.46372e+01,0.00000e+00
7.53381e+01,0.00000e+00
7.60391e+01,0.00000e+00
7.67401e+01,0.00000e+00
7.74410e+01,0.00000e+00
7.81420e+01,0.00000e+00
7.88430e+01,0.00000e+00
7.95439e+01,0.00000e+00
8.02449e+01,0.00000e+00
8.09459e+01,0.00000e+00
8.16468e+01,0.00000e+00
8.23478e+01,0.00000e+00
8.30488e+01,0.00000e+00
8.37497e+01,0.00000e+00
8.44507e+01,0.00000e+00
8.51517e+01,0.00000e+00
8.58526e+01,0.00000e+00
8.65536e+01,0.00000e+00
8.72545e+01,0.00000e+00
8.79555e+01,0.00000e+00
8.86565e+01,0.00000e+00
8.93574e+01,0.00000e+00
9.00584e+01,0.00000e+00
9.07594e+01,0.00000e+00
9.14603e+01,0.00000e+00
9.21613e+01,0.00000e+00
